Unnamed: 0,제목,날짜,본문
0,"[AI 신간] AIBB LAB 장동인 대표, 'AI로 일하는 기술' 출간",2021.12.19.,"기업의 임원들이 직접 AI 코딩을 할 줄 알아야 막연하게만 부르짖던 인공지능의 실체를 확실히 이해할 수 있고, 그래야 기업 환경에 맞는 정확한 의사 결정을 내릴 수 있다. 또한 외부 전문가 영입 못지않게 내부 직원 교육도 중요하다. 이렇게 임원을 포함한 모든 직원이 인공지능을 잘 알고 있다고 말할 수..."
1,"""집집마다 AI 쓴다면 전기료 감당 안될 것…지금부터 대비해야""",2021.12.19.,"집집마다 모두가 인공지능(AI)을 쓰게 된다고 생각해보라. 지금 같은 구조로는 전기 수요를 감당할 수가 없을 것이다."" 지난 24일 만난 전성배... 나아가 제도적·윤리적·계약적·법률적 문제가 메타버스에서도 생길 거고 이 특이사항들을 제어할 수 있어야 한다. 이 세 가지가 갖춰지면 메타버스 시대가 올 것..."
2,"과기정통부 ""플랫폼 기업 AI 검색 추천에도 가이드라인 만든다""",2021.12.15.,인공지능(AI) 추천 서비스에 대한 새로운 가이드라인이 곧 등장할 것으로 예상된다. 방통위가 지난 5월 제시한 기존 권고안은 디지털 '미디어' 플랫폼만... AI 기술 개발 안내서에 투명성 내용 포함...AI 윤리 교육 콘텐츠도 제작 AI 기술 개발 안내서에도 투명성 관련 체크리스트를 포함하는 작업이 이뤄지고 있다....
3,"""제2의 '이루다 사태' 막을 것""…AI 한계 잡는 가이드라인 탄생",2021.12.15.,"키워드는 인공지능 윤리원칙 분석 보고서 '하버드 법대 버크만 센터의 원칙에 입각한 인공지능(Principled Artificial Intelligence)을 중심으로'에서 제시한 범주를 참고했다. 해당 가이드라인은 AI 개발 주체, 이용자, 정부 당국 등의 기본 원칙을 16개 키워드, 52개 항목으로 분류했다. 주요 키워드로는 개인..."
4,"삼성전자, 디지털 포용성 평가에서 글로벌 4위...AI 윤리 원칙 공개, C랩 사외...",2021.12.08.,"삼성전자는 이번 '디지털 포용성' 평가에서 인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개, 사외 스타트업 육성... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션 캠퍼스..."
5,제주대 사범대학 윤리교육과 학생 '시민교육 수업경진대회' 장려상,2021.12.08.,김동창·김태경 교수가 지도한 '공유 팀'은 'AI리터러시 시민교육을 주제로 한 인공지능 기술의 사회적 책임과 AI시민성 수업'을 선보였다. '너영나영 팀'의 경우 '미디어 리터러시 시민교육을 주제로 한 뉴미디어의 종류와 올바른 사용 방법에 대한 모의수업'을 진행했다. 한편 제주대 윤리교육과는 예비교사...
6,"AI 대선 후보 등장에…""정치권 딥페이크 활용 가이드라인 필요""",2021.12.08.,"전창배 한국인공지능윤리협회 이사장은 ""AI 기술을 모든 산업과 다양한 영역에서 사용될 수 있고, 사용돼야 한다. 정치 분야에서도 디지털휴먼이나 AI를... 전 이사장은 ""정부·학계·기업·시민사회 등 AI 관련 주체들은 이런 AI 기술의 양면성을 인식하고 제도적·기술적·교육적 대응과 예방 방안을 마련하는..."
7,"[스페셜리포트]정부, 디지털 전환 촉진…신산업 선도국 지위 확보",2021.12.08.,"'인공지능교육법'과 윤리기준을 제정해 AI를 체계적이고 안전하게 활용하도록 준비한다. 디지털 등 신기술을 선도하는 혁신인재도 폭넓게 양성한다. 교육자원을 공유·개방하는 디지털 신기술 분야 '혁신공유대학', 산업 맞춤형 인재를 키우는 '3단계 산학연협력 선도대학 육성사업' 등 대학 역할을 강화한다...."
8,"인사처, 공무원 응시 연령 18~19세 하향 추진",2021.12.28.,"적극 행정에 대한 국민 공감대를 넓히고 공직 문화, 관리 체계를 개선하는 한편 재산등록, 공직윤리를 강화하기로 했다. 인사처는 29일 이 같은 내용이... 인사 운영 자율성은 강화되며, 공무원 교육훈련은 수요자 중심으로 개편된다. 국가인재데이터베이스 활용과 인공지능(AI) 기반 기능형 인재 추천 서비스도..."
9,AI가 낸 사고 다루려면 어떤 법 필요할까? 자율주행차부터 AI 챗봇까지,2021.12.28.,"법조계 전문가들이 모여 인공지능(AI)을 통해 피해를 입었을 시 필요한 법제도를 논의하는 자리가 마련됐다. 과기정통부는 9일 코엑스에서 '제3차... 윤리적인 데이터셋을 제대로 만들고 이에 대해 교육을 잘 시켜야 한다""고 강조했다. AI에 악의적으로 욕설, 인종차별 발언 등을 해 잘못된 데이터를 반영하도록..."
10,"AI 석학 스튜어트 러셀 교수, ""윤리적 AI 위해서 AI 기술 연구자들이 핵심적인...",2021.12.28.,"- 스튜어트 러셀(Stuart Russell) 윤리적인 인공지능(AI)을 만들기 위해서는 AI 기술 연구자들의 역할이 핵심이라는 전문가 주장이 나왔다. 세계에서 가장... 능력을 지능이라고 한다. 스튜어트 러셀 교수는 ""이러한 목표가 성공하면 세계 GDP는 10배 이상 상승할 것이다. 건강, 교육, 과학 등에서 우리 문명이..."
11,"[AI 북터뷰]""국가 안보 강화에 AI 도입 필요""...'인공지능 기반의 국가위기관...",2021.12.30.,"(사진=김동원 기자) 인공지능(AI). 2016년 알파고와 이세돌 프로바둑기사가 대전을 했을 때만 해도 생소했던 AI가 어느새 일상에서 쉽게 찾아볼 수 있는 존재가 됐다. 산업, 교육, 금융, 쇼핑 등 분야를 막론하고 AI는 사용자 편의를 위한 도구로 자리 잡았다. 인터넷 쇼핑만 해도 AI를 쉽게 찾아볼 수 있다. AI가..."
12,[초점] '5개 부처 합동' 2022년 업무계획 발표,2021.12.28.,"메타버스 플랫폼 개발 및 기업 지원을 위한 초광역 허브를 구축하고, 공공·민간의 클라우드 전환 확대, 초거대 인공지능(AI) 활용 지원, 6G·양자... 추진하며, '인공지능교육법'과 윤리기준 제정(2022년 하반기)을 통해 인공지능의 체계적이고 안전한 활용도 준비한다. 또한 탄소중립 등 지속가능한 미래를..."
13,"부경대, 정보융합대학 신설...단과대 혁신 나서",2021.12.22.,"대학은 22일 신설 단과대학인 정보융합대학 출범 기념 온라인 워크숍 'AI시대, 교육의 미래를 엿보다'를 열었다. 이날 행사는 융·복합 학문 교육과 미래... 이사의 '인공지능과 윤리'로 이어졌다. 부경대가 학문 분야에 따른 별도 단과대학을 잇달아 신설한 것은 정부의 평생교육 정책사업으로 문을 연..."
14,메타버스에서 '억대 연봉' 버는 사람들,2021.12.22.,"그는 ""우리는 대학교와 고등학교, 온라인 교육 기관과 협력해 더 많은 사람이 메타버스에서 활용할 수 있는 도구를 접할 수 있도록 하고 있다""며 ""이를... 예를 들어 인공지능(AI) 인플루언서 로지는 100건이 넘는 후원을 받았다. 대기업 롯데홈쇼핑의 가상모델 루시의 인스타그램 팔로워 수는 6만 명이 넘는다...."
15,[Who Is ?] 김동섭 한국석유공사 사장,2021.12.22.,"△청렴·반부채 정책 추진 김동섭은 윤리경영 강화 및 기업 투명성 확대를 위해 힘쓰고 있다. 한국석유공사는 2021년 10월 반부패·청렴 정책 추진의... "" (2021/06/08, 한국석유공사 사장 취임사에서) ""인공지능(AI)의 제조현장 적용의 가장 큰 장점은 지금까지 많은 경험이나 숙련도에 의존했던 업무가 데이터화..."
16,엔씨소프트 ‘ESG 경영’ 10개월만에 세계적 반열 올랐다,2021.12.22.,엔씨는 내년에도 AI(인공지능) 윤리 등 IT 기업의 특징을 살린 ESG 경영 계획을 지체 없이 추진한다는 계획이다. 글로벌 ESG 평가 기관인... 통해 AI 윤리 담론을 토의했다. 엔씨는 지난해부터 NC문화재단을 통해 세 대학의 AI 윤리 교육 커리큘럼 개발 연구를 후원하고 있다. 연구 결과는 공익 목적으로 전...
17,"삼성전자, WBA '디지털 포용성 평가' 글로벌 4위",2021.12.08.,"삼성전자는 이번 '디지털 포용성' 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션 캠퍼스..."
18,"“한국, 일본‧EU와 달라” 내년 디지털플랫폼 진흥정책 제안",2021.12.08.,"예를 들어, 인공지능(AI) 활용 신기술 플랫폼 사업을 발굴해 선도사업으로 진행하거나 환경보호‧사회약자배려와 같은 플랫폼 사업을 전개하면... 4분과에서는 ▲AI윤리 교육 콘텐츠 개발 기준 마련(12월) 및 콘텐츠 제작(내년 하반기) ▲온라인 검색‧추천 서비스 투명성 가이드라인 ▲AI윤리 자율점검표..."
19,"씨큐브코딩, 2022 겨울방학 코딩캠프 수강생 모집",2021.12.08.,"초·중·고 정규 교육과정을 통해 디지털 지식과 기술, 윤리 의식, 디지털 응용력 등을 향상한다는 계획이다. 인공지능, 빅데이터 등 신기술 관련... 코딩 입문자를 위한 '코딩 스노잉', 다양한 프로그래밍 언어로 직접 게임을 만드는 '게임/AI 슬로프', 디지털 기기와 도구를 활용해 창의적 생각을..."
20,"[로그人] 진승혁 클레온 대표 ""AI로 의사소통 장벽 허물겠다""",2021.12.08.,컬처 콘텐츠 인공지능(AI) 기업 클레온이 자체 개발한 ‘딥휴먼 기술' 기반의 서비스 ‘카멜로’와 ‘클링’이 시장에서 주목을 받는다. CES 2022... 딥페이크나 윤리적 문제를 방지하기 위해 포르노나 유명인 불법 촬영물을 걸러내는 필터도 만들었다. 클론은 2022년 1분기 출시될 가상인물 챗봇이다. 화상 채팅...
21,[2022 정시 입학정보] 숭실대학교,2021.12.10.,"함께하는 'AI모빌리티 융합전공'은 인공지능과 자율주행, 차세대 모빌리티 기술(V2X 등), 빅데이터 분석 분야 등 융·복합 교육을 통해 산업 현장에서... 교육하고 연구하는 학과다. AI융합학부에서는 4가지의 교육 철학을 중심으로 AI기술 기반 융합형 인재를 육성하고 있다. 4가지의 교육 철학은 ▲윤리적..."
22,중등교원 양성 규모 줄인다…사범대 나와야만 국영수 교사된다,2021.12.10.,"과정과 교육대학원을 중심으로 양성한다. 인공지능(AI), 드론 등 신규분야 교직과정은 입학정원 30% 내에서 운영이 가능하도록 해 현행 10%보다 확대하고... 이 밖에 교원 양성 과정에서 윤리의식, 인성 등 바른 교직관을 갖춘 교원을 양성할 수 있도록 대학 생활 기록 등을 종합적으로 검토하는 적·인성 검증체계를..."
23,"부경대, '정보융합대학 신설' 단과대 혁신 나섰다",2021.12.10.,"23일 부경대에 따르면 지난 22일 오후 1시 30분 교내 향파관 2층 회의실에서 신설 단과대학인 정보융합대학 출범 기념 워크숍 'AI시대, 교육의 미래를... 이사의 '인공지능과 윤리' 등 강연이 진행됐다. 송하주 정보융합대학 설립위원장은 ""이번 단과대학 신설로 새로운 학문과 산업 발전을 이끌고, 특성화된..."
24,"대구대, 사랑의 희망은행과 ‘업무협약 체결’ 외 [대학소식]",2021.12.10.,류정탁)은 ‘인공지능 드론을 이용한 자율 방범’ 주제로 사용자가 앱으로 드론을 호출해 사용자의 주위에서 빛을 비춰주며 안전한 귀가를 돕는다는 내용으로 장려상을 수상했다. 오유수 대구대 AI학부 교수는 “수요자 중심의 AI 교육을 통해 조기에 학생들의 AI 실무 능력을 함양했다”면서 “그 결과 이번...
25,"""게임부터 교육까지""… 메타버스 업계, '동심잡기' 나선 이유",2021.12.08.,"어린이들을 위한 게임·미디어 콘텐츠뿐만 아니라 비대면 수업, 실감학습 등 다양한 교육분야에서 메타버스를 응용하는 방법이 무궁무진하다.... 실제로 한국인공지능윤리협회(KAIEA)가 20일 발표한 '메타버스 서비스 이용 현황 조사'에 따르면 국내 초등학생들의 대다수가 메타버스 서비스를 이용해본 것으로..."
26,"용산구, 코로나19 재택치료TF 3개팀 38명으로 확대 운영",2021.12.08.,"교육을 철저히 실시하고 있다는 점에서 좋은 평가를 받았다. 그 외도 적정한 재산등록사항 심사, 주식백지신탁제도 운영 등 공정하고 투명한 공직윤리... 이밖에도, 구는 자원선순환 재활용 체계를 구축하기 위해 ▲인공지능(AI) 재활용품 자동회수기‘네프론’ 설치 ▲주택가 재활용정거장 확충 ▲아이스팩..."
27,전통 로펌의 아성에 도전하는 다크호스들,2021.12.08.,AI사업팀은 올해 6월 ‘법정에 선 인공지능’을 주제로 AI 콜로키움 온라인 행사를 진행함으로써 AI 윤리와 규범에 관한 대중적인 논의의 장을... AI와 관련해 꼭 한 번 짚고 넘어가야 할 이슈인 개인 정보와 지식재산권을 비롯해 교육·에너지·헬스케어·자율주행·로봇 등의 산업군에서 살펴봐야 할 정책과...
28,"[가짜뉴스와 전쟁②]표완수 이사장 ""디지털 시대에도 저널리즘 원칙 지키는 것...",2021.12.08.,"등 교육 제공"" 재단, 인공지능(AI) 기반 언어 모델 개발 온라인 뉴스 거래 플랫폼 '뉴스토어' 구축 ""팩트 체크 기능을 강화하는 노력을 [서울=뉴시스] 이수지... 그러면서""재단도 개별 언론사의 노력을 돕기 위해 심층 기획취재 지원을 확대하고 팩트 체크나 언론윤리 관련 교육을 강화하는 등 다양한 노력을 할 것..."
29,"삼성전자, 디지털 포용성 평가서 세계 4위…작년보다 6계단↑",2021.12.20.,삼성전자는 디지털 포용성 평가와 관련해 ▲ 인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲ 사외 스타트업 육성... 아울러 초·중학생 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미'를 운영하는 등 청소년 교육 중심의 사회공헌 활동도 높은 평가를 받았다.
